Algorithm,Program,nPages,nFrames,#PageFaults,#DiskReads,#DiskWrites
fifo, sort,100,26,100,100,74
fifo, sort,100,27,100,100,73
fifo, sort,100,28,100,100,72
fifo, sort,100,29,100,100,71
fifo, sort,100,30,100,100,70
fifo, sort,100,31,100,100,69
fifo, sort,100,32,100,100,68
fifo, sort,100,33,100,100,67
fifo, sort,100,34,100,100,66
fifo, sort,100,35,100,100,65
fifo, sort,100,36,100,100,64
fifo, sort,100,37,100,100,63
fifo, sort,100,38,100,100,62
fifo, sort,100,39,100,100,61
fifo, sort,100,40,100,100,60
fifo, sort,100,41,100,100,59
fifo, sort,100,42,100,100,58
fifo, sort,100,43,100,100,57
fifo, sort,100,44,100,100,56
fifo, sort,100,45,100,100,55
fifo, sort,100,46,100,100,54
fifo, sort,100,47,100,100,53
fifo, sort,100,48,100,100,52
fifo, sort,100,49,100,100,51
fifo, sort,100,50,100,100,50
fifo, sort,100,51,100,100,49
fifo, sort,100,52,100,100,48
fifo, sort,100,53,100,100,47
fifo, sort,100,54,100,100,46
fifo, sort,100,55,100,100,45
fifo, sort,100,56,100,100,44
fifo, sort,100,57,100,100,43
fifo, sort,100,58,100,100,42
fifo, sort,100,59,100,100,41
fifo, sort,100,60,100,100,40
fifo, sort,100,61,100,100,39
fifo, sort,100,62,100,100,38
fifo, sort,100,63,100,100,37
fifo, sort,100,64,100,100,36
fifo, sort,100,65,100,100,35
fifo, sort,100,66,100,100,34
fifo, sort,100,67,100,100,33
fifo, sort,100,68,100,100,32
fifo, sort,100,69,100,100,31
fifo, sort,100,70,100,100,30
fifo, sort,100,71,100,100,29
fifo, sort,100,72,100,100,28
fifo, sort,100,73,100,100,27
fifo, sort,100,74,100,100,26
fifo, sort,100,75,100,100,25
fifo, sort,100,76,100,100,24
fifo, sort,100,77,100,100,23
fifo, sort,100,78,100,100,22
fifo, sort,100,79,100,100,21
fifo, sort,100,80,100,100,20
fifo, sort,100,81,100,100,19
fifo, sort,100,82,100,100,18
fifo, sort,100,83,100,100,17
fifo, sort,100,84,100,100,16
fifo, sort,100,85,100,100,15
fifo, sort,100,86,100,100,14
fifo, sort,100,87,100,100,13
fifo, sort,100,88,100,100,12
fifo, sort,100,89,100,100,11
fifo, sort,100,90,100,100,10
fifo, sort,100,91,100,100,9
fifo, sort,100,92,100,100,8
fifo, sort,100,93,100,100,7
fifo, sort,100,94,100,100,6
fifo, sort,100,95,100,100,5
fifo, sort,100,96,100,100,4
fifo, sort,100,97,100,100,3
fifo, sort,100,98,100,100,2
fifo, sort,100,99,100,100,1
fifo, sort,100,100,100,0,0
custom, sort,100,3,100,100,97
custom, sort,100,4,100,100,96
custom, sort,100,5,100,100,95
custom, sort,100,6,100,100,94
custom, sort,100,7,100,100,93
custom, sort,100,8,100,100,92
custom, sort,100,9,100,100,91
custom, sort,100,10,100,100,90
custom, sort,100,11,100,100,89
custom, sort,100,12,100,100,88
custom, sort,100,13,100,100,87
custom, sort,100,14,100,100,86
custom, sort,100,15,100,100,85
custom, sort,100,16,100,100,84
custom, sort,100,17,100,100,83
custom, sort,100,18,100,100,82
custom, sort,100,19,100,100,81
custom, sort,100,20,100,100,80
custom, sort,100,21,100,100,79
custom, sort,100,22,100,100,78
custom, sort,100,23,100,100,77
custom, sort,100,24,100,100,76
custom, sort,100,25,100,100,75
custom, sort,100,26,100,100,74
custom, sort,100,27,100,100,73
custom, sort,100,28,100,100,72
custom, sort,100,29,100,100,71
custom, sort,100,30,100,100,70
custom, sort,100,31,100,100,69
custom, sort,100,32,100,100,68
custom, sort,100,33,100,100,67
custom, sort,100,34,100,100,66
custom, sort,100,35,100,100,65
custom, sort,100,36,100,100,64
custom, sort,100,37,100,100,63
custom, sort,100,38,100,100,62
custom, sort,100,39,100,100,61
custom, sort,100,40,100,100,60
custom, sort,100,41,100,100,59
custom, sort,100,42,100,100,58
custom, sort,100,43,100,100,57
custom, sort,100,44,100,100,56
custom, sort,100,45,100,100,55
custom, sort,100,46,100,100,54
custom, sort,100,47,100,100,53
custom, sort,100,48,100,100,52
custom, sort,100,49,100,100,51
custom, sort,100,50,100,100,50
custom, sort,100,51,100,100,49
custom, sort,100,52,100,100,48
custom, sort,100,53,100,100,47
custom, sort,100,54,100,100,46
custom, sort,100,55,100,100,45
custom, sort,100,56,100,100,44
custom, sort,100,57,100,100,43
custom, sort,100,58,100,100,42
custom, sort,100,59,100,100,41
custom, sort,100,60,100,100,40
custom, sort,100,61,100,100,39
custom, sort,100,62,100,100,38
custom, sort,100,63,100,100,37
custom, sort,100,64,100,100,36
custom, sort,100,65,100,100,35
custom, sort,100,66,100,100,34
custom, sort,100,67,100,100,33
custom, sort,100,68,100,100,32
custom, sort,100,69,100,100,31
custom, sort,100,70,100,100,30
custom, sort,100,71,100,100,29
custom, sort,100,72,100,100,28
custom, sort,100,73,100,100,27
custom, sort,100,74,100,100,26
custom, sort,100,75,100,100,25
custom, sort,100,76,100,100,24
custom, sort,100,77,100,100,23
custom, sort,100,78,100,100,22
custom, sort,100,79,100,100,21
custom, sort,100,80,100,100,20
custom, sort,100,81,100,100,19
custom, sort,100,82,100,100,18
custom, sort,100,83,100,100,17
custom, sort,100,84,100,100,16
custom, sort,100,85,100,100,15
custom, sort,100,86,100,100,14
custom, sort,100,87,100,100,13
custom, sort,100,88,100,100,12
custom, sort,100,89,100,100,11
custom, sort,100,90,100,100,10
custom, sort,100,91,100,100,9
custom, sort,100,92,100,100,8
custom, sort,100,93,100,100,7
custom, sort,100,94,100,100,6
custom, sort,100,95,100,100,5
custom, sort,100,96,100,100,4
custom, sort,100,97,100,100,3
custom, sort,100,98,100,100,2
custom, sort,100,99,100,100,1
custom, sort,100,100,100,0,0
rand, focus,100,3,101,100,97
rand, focus,100,4,105,100,96
rand, focus,100,5,104,100,95
rand, focus,100,6,109,100,94
rand, focus,100,7,129,100,93
rand, focus,100,8,119,100,92
rand, focus,100,9,111,100,91
rand, focus,100,10,103,100,90
rand, focus,100,11,122,100,89
rand, focus,100,12,145,100,88
rand, focus,100,13,116,100,87
rand, focus,100,14,140,100,86
rand, focus,100,15,131,100,85
rand, focus,100,16,156,100,84
rand, focus,100,17,150,100,83
rand, focus,100,18,133,100,82
rand, focus,100,19,149,100,81
rand, focus,100,20,144,100,80
rand, focus,100,21,134,100,79
rand, focus,100,22,204,100,78
rand, focus,100,23,145,100,77
rand, focus,100,24,177,100,76
rand, focus,100,25,201,100,75
